metric,value
client_init_us,23.738000
server_init_us,0.000000
client_handshake_us,355.729000
server_handshake_us,355.729000
stage1_client_us,41.298000
stage1_server_us,42.714000
stage2_client_us,106.994000
stage2_server_us,123.775000
stage3_client_us,9.929000
stage3_server_us,8.474000
stage4_client_us,9.986000
stage4_server_us,12.555000
client_allocs_per_session_approx,388.500
server_allocs_per_session_approx,388.500
client_alloc_bytes_per_session_approx,223520.336
server_alloc_bytes_per_session_approx,223520.336
registration_bytes,2368
online_bytes,4672
total_bytes,7040
client_to_server_bytes,2336
server_to_client_bytes,2336
