metric,value
iters,300
client_shared_key_time_s_ecdhe_tls13,0.000549
client_shared_key_time_s_ours_tls13,0.000375
server_shared_key_time_s_ecdhe_tls13,0.000504
server_shared_key_time_s_ours_tls13,0.000277
baseline_client_handshake_us,549.087000
baseline_server_handshake_us,504.100000
ours_client_handshake_us,510.509000
ours_server_handshake_us,458.795000
baseline_client_total_us,738.476000
baseline_server_total_us,527.047000
ours_client_total_us,666.391000
ours_server_total_us,458.796000
baseline_raw_c_to_s_bytes,1563.000
baseline_raw_s_to_c_bytes,1867.050
ours_raw_c_to_s_bytes,2356.000
ours_raw_s_to_c_bytes,2351.000
ours_payload_c_to_s_bytes,2356.000
ours_payload_s_to_c_bytes,2351.000
baseline_client_alloc_bytes,108254.213
baseline_server_alloc_bytes,101092.160
ours_client_alloc_bytes,230251.840
ours_server_alloc_bytes,216795.333
baseline_client_mallocs,935.640
baseline_server_mallocs,884.740
ours_client_mallocs,435.280
ours_server_mallocs,400.437
ours_registration_payload_bytes,1189
ours_online_payload_bytes,3518
ours_total_payload_bytes,4707
