metric,value
iters,300
client_init_us,69.620000
client_stage1_us,140.504000
client_stage2_us,218.503000
client_stage3_us,32.983000
client_stage4_us,52.351000
client_total_us,668.491000
server_init_us,37.289000
server_stage1_us,175.697000
server_stage2_us,115.736000
server_stage3_us,96.936000
server_stage4_us,31.456000
server_total_us,457.115000
client_payload_sent_bytes,2356.000
client_payload_recv_bytes,2351.000
server_payload_sent_bytes,2351.000
server_payload_recv_bytes,2356.000
client_raw_sent_bytes,2356.000
client_raw_recv_bytes,2351.000
server_raw_sent_bytes,2351.000
server_raw_recv_bytes,2356.000
client_mallocs,435.880
client_alloc_bytes,230443.067
server_mallocs,401.463
server_alloc_bytes,217282.000
registration_payload_bytes,1189
online_payload_bytes,3518
total_payload_bytes,4707
integrity_trials,100
integrity_detected,100
integrity_detection_rate_pct,100.00
