metric,value
iters,100
client_tls_handshake_us,706.651000
client_init_us,92.121000
client_stage1_us,277.387000
client_stage2_us,254.115000
client_stage3_us,66.920000
client_stage4_us,102.742000
client_total_us,1695.527000
server_tls_handshake_us,608.718000
server_init_us,97.179000
server_stage1_us,308.315000
server_stage2_us,159.400000
server_stage3_us,156.194000
server_stage4_us,87.554000
server_total_us,1422.498000
client_payload_sent_bytes,2356.000
client_payload_recv_bytes,2351.000
server_payload_sent_bytes,2351.000
server_payload_recv_bytes,2356.000
client_raw_sent_bytes,4069.000
client_raw_recv_bytes,4298.330
server_raw_sent_bytes,4322.090
server_raw_recv_bytes,4045.000
client_mallocs,1410.320
client_alloc_bytes,341889.600
server_mallocs,1359.430
server_alloc_bytes,334513.840
registration_payload_bytes,1189
online_payload_bytes,3518
total_payload_bytes,4707
integrity_trials,20
integrity_detected,20
integrity_detection_rate_pct,100.00
